method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
winner_xfg_feature_mask,1,7,30,30,30,3,0.1,1.0,0.11667031624179013
winner_xfg_feature_mask,1,17,30,30,30,3,0.1,1.0,0.11667031684342034
winner_xfg_feature_mask,1,29,30,30,30,3,0.1,1.0,0.1166703162417896
winner_xfg_feature_mask,1,42,30,30,30,3,0.1,1.0,0.11667031624162534
winner_xfg_feature_mask,1,61,30,30,30,3,0.1,1.0,0.1166703162247214
winner_xfg_feature_mask,1,73,30,30,30,3,0.1,1.0,0.11667031622456983
winner_xfg_feature_mask,1,89,30,30,30,3,0.1,1.0,0.11667031624209276
winner_xfg_feature_mask,1,101,30,30,30,3,0.1,1.0,0.11667031624194117
winner_xfg_feature_mask,1,137,30,30,30,3,0.1,1.0,0.11667031686468736
winner_xfg_feature_mask,1,2026,30,30,30,3,0.1,1.0,0.1166703167385637
winner_xfg_feature_mask,3,7,30,30,30,4,0.13333333333333333,1.0,0.12061866870870429
winner_xfg_feature_mask,3,17,30,30,30,4,0.13333333333333333,1.0,0.12061867064900324
winner_xfg_feature_mask,3,29,30,30,30,4,0.13333333333333333,1.0,0.12061866866213816
winner_xfg_feature_mask,3,42,30,30,30,4,0.13333333333333333,1.0,0.12061867064891417
winner_xfg_feature_mask,3,61,30,30,30,4,0.13333333333333333,1.0,0.12061867095861228
winner_xfg_feature_mask,3,73,30,30,30,4,0.13333333333333333,1.0,0.1206186668460345
winner_xfg_feature_mask,3,89,30,30,30,4,0.13333333333333333,1.0,0.12061866667531666
winner_xfg_feature_mask,3,101,30,30,30,4,0.13333333333333333,1.0,0.12061867064895965
winner_xfg_feature_mask,3,137,30,30,30,4,0.13333333333333333,1.0,0.12061866866211353
winner_xfg_feature_mask,3,2026,30,30,30,4,0.13333333333333333,1.0,0.12061867095940051
winner_xfg_feature_mask,5,7,30,30,30,4,0.13333333333333333,1.0,0.12604788223666577
winner_xfg_feature_mask,5,17,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg_feature_mask,5,29,30,30,30,4,0.13333333333333333,1.0,0.126047885216898
winner_xfg_feature_mask,5,42,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg_feature_mask,5,61,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg_feature_mask,5,73,30,30,30,4,0.13333333333333333,1.0,0.1260478832300765
winner_xfg_feature_mask,5,89,30,30,30,4,0.13333333333333333,1.0,0.12604788422347304
winner_xfg_feature_mask,5,101,30,30,30,4,0.13333333333333333,1.0,0.12604788223666577
winner_xfg_feature_mask,5,137,30,30,30,4,0.13333333333333333,1.0,0.126047885216898
winner_xfg_feature_mask,5,2026,30,30,30,4,0.13333333333333333,1.0,0.1260478832300765
