method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
random_graph::edge_reconnect,3,17,58,58,30,1,0.03333333333333333,1.0,0.04347215824090217
random_graph::edge_reconnect,3,29,58,58,30,2,0.06666666666666667,1.0,0.12724554292128742
random_graph::edge_reconnect,3,42,58,56,29,1,0.034482758620689655,0.9655172413793104,0.027008890394355976
random_graph::edge_reconnect,3,61,58,58,30,1,0.03333333333333333,1.0,0.07959456372707181
random_graph::edge_reconnect,3,73,58,58,30,0,0.0,1.0,0.07213657101259904
random_graph::edge_reconnect,3,89,58,58,30,1,0.03333333333333333,1.0,0.07013526861466225
random_graph::edge_reconnect,3,101,58,58,30,0,0.0,1.0,0.06054750351310924
random_graph::edge_reconnect,3,137,58,58,30,1,0.03333333333333333,1.0,0.08206325612804975
random_graph::edge_reconnect,3,2026,58,58,30,0,0.0,1.0,0.09566891874797233
random_graph::edge_reconnect,5,7,58,56,29,0,0.0,0.9655172413793104,0.07198759191659332
random_graph::edge_reconnect,5,17,58,58,30,1,0.03333333333333333,1.0,0.054438549661377345
random_graph::edge_reconnect,5,29,58,58,30,2,0.06666666666666667,1.0,0.11761597416264892
random_graph::edge_reconnect,5,42,58,58,30,0,0.0,1.0,0.087889517370122
random_graph::edge_reconnect,5,61,58,58,30,1,0.03333333333333333,1.0,0.09050694267503388
random_graph::edge_reconnect,5,73,58,58,30,0,0.0,1.0,0.055943599312743425
random_graph::edge_reconnect,5,89,58,58,30,1,0.03333333333333333,1.0,0.04518882680372729
random_graph::edge_reconnect,5,101,58,58,30,1,0.03333333333333333,1.0,0.10019025874937962
random_graph::edge_reconnect,5,137,58,58,30,1,0.03333333333333333,1.0,0.09147141895673115
random_graph::edge_reconnect,5,2026,58,58,30,0,0.0,1.0,0.10351361348224694
random_graph::node_add,1,7,58,58,30,0,0.0,1.0,0.0015575982921124578
random_graph::node_add,1,17,58,58,30,0,0.0,1.0,0.01253059670460751
random_graph::node_add,1,29,58,58,30,0,0.0,1.0,0.008568972569574023
random_graph::node_add,1,42,58,58,30,0,0.0,1.0,0.024797980673979748
random_graph::node_add,1,61,58,58,30,0,0.0,1.0,8.549349302119255e-05
random_graph::node_add,1,73,58,58,30,0,0.0,1.0,0.0006659278343104359
